window_label,n_meaningful_titles,profiles,hhi_floor,median_raw_hhi,median_top_title_share,p90_top_title_share,median_adjusted_hhi,p90_adjusted_hhi
FINAL_90,3,865,0.333333,0.476843,0.615029,0.819359,0.215264,0.535477
FINAL_90,4,741,0.250000,0.408183,0.545871,0.768979,0.210911,0.485291
FINAL_90,5,589,0.200000,0.332143,0.473548,0.672648,0.165178,0.370636
FINAL_90,6,479,0.166667,0.302556,0.435037,0.619494,0.163067,0.325284
FINAL_90,7,426,0.142857,0.262009,0.395328,0.599246,0.139011,0.303794
FINAL_90,8,403,0.125000,0.240996,0.375054,0.540289,0.132567,0.269337
FINAL_90,9,297,0.111111,0.215856,0.341591,0.512565,0.117838,0.231771
FINAL_90,10,296,0.100000,0.194881,0.318583,0.451726,0.105424,0.198599
FINAL_90,11,263,0.090909,0.179578,0.291624,0.449494,0.097535,0.192394
FINAL_90,12,233,0.083333,0.164110,0.283558,0.447012,0.088120,0.189960
FINAL_90,13,201,0.076923,0.156446,0.271820,0.413932,0.086150,0.164515
FINAL_90,14,170,0.071429,0.150759,0.261783,0.384210,0.085432,0.158985
FINAL_90,15,154,0.066667,0.136922,0.245635,0.377329,0.075274,0.143027
FINAL_90,16,163,0.062500,0.127848,0.232642,0.385047,0.069704,0.161324
FINAL_90,17,166,0.058824,0.118490,0.222523,0.358971,0.063396,0.134418
FINAL_90,18,154,0.055556,0.108293,0.201869,0.313440,0.055840,0.106836
FINAL_90,19,137,0.052632,0.105015,0.194128,0.319370,0.055294,0.114659
FINAL_90,20,129,0.050000,0.101637,0.193283,0.351880,0.054355,0.115997
FINAL_90,21,126,0.047619,0.094100,0.187312,0.293262,0.048805,0.103597
FINAL_90,22,113,0.045455,0.096542,0.199310,0.320606,0.053520,0.101001
FINAL_90,23,89,0.043478,0.084428,0.165259,0.262825,0.042811,0.088850
FINAL_90,24,104,0.041667,0.084540,0.168589,0.279544,0.044737,0.092667
FINAL_90,25,96,0.040000,0.078158,0.153288,0.265463,0.039748,0.079982
FINAL_90,26,103,0.038462,0.077855,0.157007,0.281185,0.040969,0.089112
FINAL_90,27,73,0.037037,0.078333,0.154474,0.277326,0.042885,0.083308
FINAL_90,28,89,0.035714,0.074236,0.164882,0.267511,0.039949,0.086652
FINAL_90,29,82,0.034483,0.071919,0.147718,0.225879,0.038774,0.059626
FINAL_90,30,78,0.033333,0.070086,0.146828,0.234113,0.038020,0.078278
FINAL_90,31,87,0.032258,0.066922,0.136554,0.231194,0.035819,0.073442
FINAL_90,32,78,0.031250,0.065896,0.144742,0.268767,0.035763,0.077058
FINAL_90,33,66,0.030303,0.063173,0.139776,0.250070,0.033897,0.071727
FINAL_90,34,69,0.029412,0.057975,0.125079,0.232545,0.029429,0.071963
FINAL_90,35,52,0.028571,0.058534,0.131778,0.219377,0.030844,0.060268
FINAL_90,36,61,0.027778,0.052371,0.120811,0.252399,0.025295,0.075977
FINAL_90,37,41,0.027027,0.055478,0.132388,0.256982,0.029241,0.077330
FINAL_90,38,46,0.026316,0.050076,0.116305,0.210008,0.024402,0.060807
FINAL_90,39,44,0.025641,0.055802,0.125691,0.231072,0.030955,0.072199
FINAL_90,40,54,0.025000,0.051367,0.131117,0.209300,0.027043,0.051910
FINAL_90,41,46,0.024390,0.049538,0.132615,0.252036,0.025776,0.069830
FINAL_90,42,46,0.023810,0.049616,0.117886,0.251677,0.026436,0.071208
FINAL_90,43,37,0.023256,0.048176,0.111874,0.202808,0.025513,0.050014
FINAL_90,44,35,0.022727,0.044575,0.101344,0.221635,0.022356,0.061021
FINAL_90,45,47,0.022222,0.045462,0.107820,0.255839,0.023768,0.068431
FINAL_90,46,38,0.021739,0.042632,0.092276,0.228344,0.021357,0.056129
FINAL_90,47,39,0.021277,0.045276,0.123536,0.275429,0.024521,0.077817
