window_label,has_pre_completion_resume,canonical_outcome,asset_count,share_within_resume_status
BASELINE_90,0,ABANDONED,48889,0.16731921010301515
BASELINE_90,0,CENSORED,0,0.0
BASELINE_90,0,COMPLETED,243301,0.8326807898969848
BASELINE_90,1,ABANDONED,2697,0.04755355725998413
BASELINE_90,1,CENSORED,2,0.000035264039495724237
BASELINE_90,1,COMPLETED,54016,0.9524111787005202
FINAL_90,0,ABANDONED,44743,0.15285307752486174
FINAL_90,0,CENSORED,9990,0.03412829368780298
FINAL_90,0,COMPLETED,237986,0.8130186287873353
FINAL_90,1,ABANDONED,1161,0.026054172931487176
FINAL_90,1,CENSORED,1033,0.023181705976077736
FINAL_90,1,COMPLETED,42367,0.9507641210924351
