window_label,horizon_days,completed_assets,positive_rewatched_assets,observed_negative_assets,censored_assets,known_outcome_denominator,rewatch_rate_known_outcomes
BASELINE_90,1,297317,3330,293987,0,297317,0.011200166825307669
BASELINE_90,3,297317,15638,281679,0,297317,0.05259705970395235
BASELINE_90,7,297317,34078,263239,0,297317,0.11461840392577619
BASELINE_90,14,297317,57303,240014,0,297317,0.19273368155874032
BASELINE_90,30,297317,90425,206891,1,297316,0.3041376851565338
BASELINE_90,60,297317,122019,175274,24,297293,0.4104334780839105
FINAL_90,1,280353,1045,276239,3069,277284,0.003768699239768613
FINAL_90,3,280353,5172,266319,8862,271491,0.019050355260395373
FINAL_90,7,280353,12444,245903,22006,258347,0.04816777435000213
FINAL_90,14,280353,22709,214447,43197,237156,0.0957555364401491
FINAL_90,30,280353,38624,153394,88335,192018,0.20114780905956733
FINAL_90,60,280353,53119,64972,162262,118091,0.44981412639405205
