metric,window_label,concentration_quintile,breadth_quintile,profiles,avg_meaningful_titles,avg_top_title_share,avg_watch_hours,avg_active_days,profiles_measured,known_outcomes,raw_avg_rate,deviation_vs_watch_context,share_above_watch_context,min_watch_benchmark_n,deviation_vs_active_day_context,share_above_active_day_context,min_active_day_benchmark_n,control_directions,support_note
completion,BASELINE_90,1,3,2,10.5,0.1693,36.95,30.5,2,102,0.9286,0.111,1,1752,0.1301,1,1751,BOTH_POSITIVE,THIN_CELL
completion,BASELINE_90,1,4,305,18.95,0.1509,57.34,42.38,305,20150,0.8976,0.0672,0.8033,1739,0.0745,0.8098,1751,BOTH_POSITIVE,STANDARD
completion,BASELINE_90,1,5,1446,52.05,0.1082,128.22,57.85,1446,173907,0.8344,-0.0109,0.5373,1739,-0.0074,0.5415,1751,BOTH_NEGATIVE,STANDARD
completion,BASELINE_90,2,2,29,5.17,0.294,13.31,18,29,634,0.7628,0.0234,0.6207,1089,0.0116,0.5172,1019,BOTH_POSITIVE,THIN_CELL
completion,BASELINE_90,2,3,407,8.65,0.2697,23.11,25.68,407,12980,0.819,0.0262,0.6536,1089,0.033,0.6609,1019,BOTH_POSITIVE,STANDARD
completion,BASELINE_90,2,4,1036,16.01,0.2384,37.27,35.64,1036,44297,0.7961,-0.0197,0.5618,1625,-0.0137,0.5685,1683,BOTH_NEGATIVE,STANDARD
completion,BASELINE_90,2,5,280,30.72,0.2181,74.34,47.84,280,20854,0.7563,-0.0785,0.3929,1752,-0.0751,0.375,1751,BOTH_NEGATIVE,STANDARD
completion,BASELINE_90,3,1,102,3,0.4176,6.71,11.78,93,1054,0.8063,0.0988,0.8172,1089,0.0919,0.7957,1019,BOTH_POSITIVE,STANDARD
completion,BASELINE_90,3,2,517,4.62,0.4009,10.07,15.65,509,8236,0.767,0.0342,0.6601,1089,0.0291,0.6464,1019,BOTH_POSITIVE,STANDARD
completion,BASELINE_90,3,3,789,7.9,0.3801,16.54,22.67,789,18172,0.7697,-0.0091,0.5868,1089,-0.0053,0.5944,1019,BOTH_NEGATIVE,STANDARD
completion,BASELINE_90,3,4,322,14,0.3691,26.66,30.65,322,9450,0.6906,-0.116,0.2981,1625,-0.1095,0.3199,1683,BOTH_NEGATIVE,STANDARD
completion,BASELINE_90,3,5,22,29.32,0.3433,77.83,46.91,22,1873,0.7582,-0.0796,0.5,1752,-0.0688,0.5,1751,BOTH_NEGATIVE,THIN_CELL
completion,BASELINE_90,4,1,540,2.65,0.5474,5.93,10.8,435,4965,0.8308,0.1345,0.8368,1089,0.1199,0.8115,1019,BOTH_POSITIVE,STANDARD
completion,BASELINE_90,4,2,701,4.24,0.5364,8.43,14.47,671,9009,0.7534,0.0289,0.6945,1089,0.02,0.6423,1019,BOTH_POSITIVE,STANDARD
completion,BASELINE_90,4,3,429,7.36,0.5245,13.5,19.89,429,7435,0.6994,-0.0685,0.4522,1089,-0.0656,0.4406,1019,BOTH_NEGATIVE,STANDARD
completion,BASELINE_90,4,4,78,12.92,0.5167,24.26,28.03,78,1658,0.5761,-0.2292,0.1795,1625,-0.2204,0.1795,1683,BOTH_NEGATIVE,STANDARD
completion,BASELINE_90,4,5,4,31.25,0.485,78.64,49,4,312,0.7379,-0.1019,0.25,1752,-0.0901,0.5,1752,BOTH_NEGATIVE,THIN_CELL
completion,BASELINE_90,5,1,1111,2.28,0.8189,4.84,8.47,565,5216,0.7972,0.1177,0.7929,1089,0.0969,0.7681,1019,BOTH_POSITIVE,STANDARD
completion,BASELINE_90,5,2,505,4.04,0.7461,8.16,12.69,399,4241,0.6879,-0.0421,0.5113,1089,-0.0401,0.4962,1019,BOTH_NEGATIVE,STANDARD
completion,BASELINE_90,5,3,125,7.4,0.7168,14.76,19.51,125,1572,0.5344,-0.2418,0.208,1089,-0.2259,0.216,1019,BOTH_NEGATIVE,STANDARD
completion,BASELINE_90,5,4,11,11.55,0.6921,21.14,25.73,11,169,0.4501,-0.3566,0,1739,-0.336,0,1683,BOTH_NEGATIVE,THIN_CELL
completion,FINAL_90,1,3,9,12.22,0.1393,29.84,25.56,9,222,0.9349,0.1347,1,1884,0.1469,1,1918,BOTH_POSITIVE,THIN_CELL
completion,FINAL_90,1,4,455,23.37,0.127,47.79,35.71,455,16691,0.8169,0.0023,0.6044,1884,0.0088,0.6044,1575,BOTH_POSITIVE,STANDARD
completion,FINAL_90,1,5,1489,65.14,0.0923,130.16,55.58,1489,153075,0.8209,-0.0257,0.5044,1947,-0.0236,0.5017,1918,BOTH_NEGATIVE,STANDARD
completion,FINAL_90,2,2,35,6.37,0.2433,12.96,14.06,32,369,0.8646,0.0948,0.7813,656,0.1066,0.8125,610,BOTH_POSITIVE,STANDARD
completion,FINAL_90,2,3,481,10.76,0.2245,21.19,22.23,478,8824,0.7986,0.0133,0.6339,656,0.0207,0.6423,610,BOTH_POSITIVE,STANDARD
completion,FINAL_90,2,4,1045,20.07,0.2006,40.1,33.41,1045,35843,0.7789,-0.0296,0.5206,1566,-0.0252,0.5282,1575,BOTH_NEGATIVE,STANDARD
completion,FINAL_90,2,5,392,44.23,0.1924,96.85,51.72,392,36797,0.8629,0.0191,0.6888,1947,0.0212,0.6862,1918,BOTH_POSITIVE,STANDARD
completion,FINAL_90,3,1,35,3.11,0.3831,6.2,8.71,19,164,0.9015,0.1556,0.8947,656,0.1563,0.8947,610,BOTH_POSITIVE,STANDARD
completion,FINAL_90,3,2,523,5.44,0.3511,10.24,13.23,418,4644,0.7979,0.0414,0.6699,656,0.0401,0.6699,610,BOTH_POSITIVE,STANDARD
completion,FINAL_90,3,3,949,9.6,0.3327,18.36,21.23,937,16695,0.7622,-0.0184,0.5678,656,-0.0135,0.5838,610,BOTH_NEGATIVE,STANDARD
completion,FINAL_90,3,4,377,18.16,0.3178,37.13,32.72,377,14267,0.7817,-0.0234,0.5782,1566,-0.0202,0.5703,1575,BOTH_NEGATIVE,STANDARD
completion,FINAL_90,3,5,68,40.15,0.3088,95.05,51.65,68,5990,0.8713,0.0269,0.75,1947,0.0282,0.75,1950,BOTH_POSITIVE,STANDARD
completion,FINAL_90,4,1,515,2.77,0.5248,5.34,7.85,183,1412,0.8639,0.1339,0.8579,656,0.1172,0.8415,610,BOTH_POSITIVE,STANDARD
completion,FINAL_90,4,2,914,5,0.4945,9.46,13.03,703,7348,0.7705,0.0166,0.6344,656,0.0134,0.623,610,BOTH_POSITIVE,STANDARD
completion,FINAL_90,4,3,446,9.05,0.4774,17.1,20.72,440,7341,0.7236,-0.0529,0.4909,656,-0.0511,0.4955,610,BOTH_NEGATIVE,STANDARD
completion,FINAL_90,4,4,74,17.99,0.4715,43.11,36.72,74,3738,0.8333,0.024,0.7027,1884,0.023,0.7027,1918,BOTH_POSITIVE,STANDARD
completion,FINAL_90,4,5,3,39.33,0.4341,106.88,47.67,3,223,0.8799,0.0433,1,1947,0.0445,1,1950,BOTH_POSITIVE,THIN_CELL
completion,FINAL_90,5,1,1403,2.14,0.8183,4.71,7.73,496,3593,0.8363,0.1181,0.8065,656,0.092,0.75,610,BOTH_POSITIVE,STANDARD
completion,FINAL_90,5,2,481,4.63,0.6965,8.87,13.1,320,3161,0.7159,-0.0332,0.5125,656,-0.0437,0.5,610,BOTH_NEGATIVE,STANDARD
completion,FINAL_90,5,3,67,8.18,0.6632,14.27,19.94,66,998,0.6385,-0.1336,0.3939,656,-0.1321,0.3939,610,BOTH_NEGATIVE,STANDARD
completion,FINAL_90,5,4,1,17,0.6408,35.2,39,1,66,0.8939,0.0853,1,1947,0.0916,1,1950,BOTH_POSITIVE,THIN_CELL
